Name;Station;Time(norwegian mean time);Precipitation (24 h)
Bergen - Florida;SN50540;12.05.2021;0
Bergen - Florida;SN50540;13.05.2021;0.1
Bergen - Florida;SN50540;14.05.2021;0.1
Bergen - Florida;SN50540;15.05.2021;0.4
Bergen - Florida;SN50540;16.05.2021;2.4
Bergen - Florida;SN50540;17.05.2021;1.3
Bergen - Florida;SN50540;18.05.2021;1.8
Bergen - Florida;SN50540;19.05.2021;5.2
Bergen - Florida;SN50540;20.05.2021;0.7
Bergen - Florida;SN50540;21.05.2021;0
Bergen - Florida;SN50540;22.05.2021;0
Bergen - Florida;SN50540;23.05.2021;2.7
Bergen - Florida;SN50540;24.05.2021;16.5
Bergen - Florida;SN50540;25.05.2021;2.4
Bergen - Florida;SN50540;26.05.2021;0.1
Bergen - Florida;SN50540;27.05.2021;0
Bergen - Florida;SN50540;28.05.2021;0
Bergen - Florida;SN50540;29.05.2021;0.1
Bergen - Florida;SN50540;30.05.2021;0
Bergen - Florida;SN50540;31.05.2021;0
Bergen - Florida;SN50540;01.06.2021;0
Bergen - Florida;SN50540;02.06.2021;0
Bergen - Florida;SN50540;03.06.2021;0
Bergen - Florida;SN50540;04.06.2021;0
Bergen - Florida;SN50540;05.06.2021;0.4
Bergen - Florida;SN50540;06.06.2021;2.2
Bergen - Florida;SN50540;07.06.2021;0
Bergen - Florida;SN50540;08.06.2021;0
Bergen - Florida;SN50540;09.06.2021;0
Bergen - Florida;SN50540;10.06.2021;5.5
Bergen - Florida;SN50540;11.06.2021;5.5
Bergen - Florida;SN50540;12.06.2021;2.3
Bergen - Florida;SN50540;13.06.2021;2.1
Bergen - Florida;SN50540;14.06.2021;49
Bergen - Florida;SN50540;15.06.2021;19.1
Bergen - Florida;SN50540;16.06.2021;0.9
Bergen - Florida;SN50540;17.06.2021;3.7
Bergen - Florida;SN50540;18.06.2021;9.3
Bergen - Florida;SN50540;19.06.2021;0
Bergen - Florida;SN50540;20.06.2021;2.7
Bergen - Florida;SN50540;21.06.2021;3.4
Bergen - Florida;SN50540;22.06.2021;0.1
Bergen - Florida;SN50540;23.06.2021;0
Bergen - Florida;SN50540;24.06.2021;0
Bergen - Florida;SN50540;25.06.2021;2.9
Bergen - Florida;SN50540;26.06.2021;0
Bergen - Florida;SN50540;27.06.2021;0
Bergen - Florida;SN50540;28.06.2021;0
Bergen - Florida;SN50540;29.06.2021;0
Bergen - Florida;SN50540;30.06.2021;0
Bergen - Florida;SN50540;01.07.2021;0
Bergen - Florida;SN50540;02.07.2021;0
Bergen - Florida;SN50540;03.07.2021;4.5
Bergen - Florida;SN50540;04.07.2021;5.2
Bergen - Florida;SN50540;05.07.2021;1
Bergen - Florida;SN50540;06.07.2021;13.3
Bergen - Florida;SN50540;07.07.2021;0.5
Bergen - Florida;SN50540;08.07.2021;2.9
Bergen - Florida;SN50540;09.07.2021;22.3
Bergen - Florida;SN50540;10.07.2021;5.7
Bergen - Florida;SN50540;11.07.2021;5.7
Bergen - Florida;SN50540;12.07.2021;0.1
Bergen - Florida;SN50540;13.07.2021;0
Bergen - Florida;SN50540;14.07.2021;2.8
Bergen - Florida;SN50540;15.07.2021;0.3
Bergen - Florida;SN50540;16.07.2021;0.6
Bergen - Florida;SN50540;17.07.2021;0.8
Bergen - Florida;SN50540;18.07.2021;10.3
Bergen - Florida;SN50540;19.07.2021;0.8
Bergen - Florida;SN50540;20.07.2021;0.6
Bergen - Florida;SN50540;21.07.2021;0.7
Bergen - Florida;SN50540;22.07.2021;0
Bergen - Florida;SN50540;23.07.2021;0
Bergen - Florida;SN50540;24.07.2021;0
Bergen - Florida;SN50540;25.07.2021;0
Bergen - Florida;SN50540;26.07.2021;0.1
Bergen - Florida;SN50540;27.07.2021;1.7
Bergen - Florida;SN50540;28.07.2021;10.7
Bergen - Florida;SN50540;29.07.2021;9.6
Bergen - Florida;SN50540;30.07.2021;5.5
Bergen - Florida;SN50540;31.07.2021;0
Bergen - Florida;SN50540;01.08.2021;0
Bergen - Florida;SN50540;02.08.2021;0
Bergen - Florida;SN50540;03.08.2021;0
Bergen - Florida;SN50540;04.08.2021;0
Bergen - Florida;SN50540;05.08.2021;0
Bergen - Florida;SN50540;06.08.2021;0
Bergen - Florida;SN50540;07.08.2021;0.5
Bergen - Florida;SN50540;08.08.2021;0
Bergen - Florida;SN50540;09.08.2021;0.9
Bergen - Florida;SN50540;10.08.2021;21.3
Bergen - Florida;SN50540;11.08.2021;0
Bergen - Florida;SN50540;12.08.2021;0.1
Bergen - Florida;SN50540;13.08.2021;3.4
Bergen - Florida;SN50540;14.08.2021;6.6
Bergen - Florida;SN50540;15.08.2021;19
Bergen - Florida;SN50540;16.08.2021;6
Bergen - Florida;SN50540;17.08.2021;0.1
Bergen - Florida;SN50540;18.08.2021;0.1
Bergen - Florida;SN50540;19.08.2021;1
Bergen - Florida;SN50540;20.08.2021;0.2
Bergen - Florida;SN50540;21.08.2021;0
Bergen - Florida;SN50540;22.08.2021;0
Bergen - Florida;SN50540;23.08.2021;0.1
Bergen - Florida;SN50540;24.08.2021;0
Bergen - Florida;SN50540;25.08.2021;7.4
Bergen - Florida;SN50540;26.08.2021;0
Bergen - Florida;SN50540;27.08.2021;0
Bergen - Florida;SN50540;28.08.2021;0
Bergen - Florida;SN50540;29.08.2021;0
Bergen - Florida;SN50540;30.08.2021;0
Bergen - Florida;SN50540;31.08.2021;0
Bergen - Florida;SN50540;01.09.2021;0
Bergen - Florida;SN50540;02.09.2021;0
Bergen - Florida;SN50540;03.09.2021;1.3
Bergen - Florida;SN50540;04.09.2021;0
Bergen - Florida;SN50540;05.09.2021;0
Bergen - Florida;SN50540;06.09.2021;0
Bergen - Florida;SN50540;07.09.2021;2
Bergen - Florida;SN50540;08.09.2021;12.7
Bergen - Florida;SN50540;09.09.2021;0.9
Bergen - Florida;SN50540;10.09.2021;0
Bergen - Florida;SN50540;11.09.2021;3.2
Bergen - Florida;SN50540;12.09.2021;20.2
Bergen - Florida;SN50540;13.09.2021;0
Bergen - Florida;SN50540;14.09.2021;0
Bergen - Florida;SN50540;15.09.2021;0
Bergen - Florida;SN50540;16.09.2021;1.2
Bergen - Florida;SN50540;17.09.2021;0.7
Bergen - Florida;SN50540;18.09.2021;0
Bergen - Florida;SN50540;19.09.2021;0
Bergen - Florida;SN50540;20.09.2021;0
Bergen - Florida;SN50540;21.09.2021;11.9
Bergen - Florida;SN50540;22.09.2021;0.9
Bergen - Florida;SN50540;23.09.2021;41.9
Bergen - Florida;SN50540;24.09.2021;24.2
